alg time busca
BuscaLinear: 31019 100
BuscaLinear: 1206 1
BuscaLinear: 10529 200
BuscaLinear: 133 1
BuscaLinear: 9801 300
BuscaLinear: 105 1
BuscaLinear: 14774 400
BuscaLinear: 103 1
BuscaLinear: 11951 500
BuscaLinear: 99 1
BuscaLinear: 11072 600
BuscaLinear: 97 1
BuscaLinear: 13129 700
BuscaLinear: 110 1
BuscaLinear: 14813 800
BuscaLinear: 97 1
BuscaLinear: 16741 900
BuscaLinear: 210 1
BuscaLinear: 8691 1000
BuscaLinear: 97 1
BuscaLinear: 9599 1100
BuscaLinear: 80 1
BuscaLinear: 9634 1200
BuscaLinear: 84 1
BuscaLinear: 10880 1300
BuscaLinear: 76 1
BuscaLinear: 11526 1400
BuscaLinear: 104 1
BuscaLinear: 12027 1500
BuscaLinear: 78 1
BuscaLinear: 13399 1600
BuscaLinear: 93 1
BuscaLinear: 14768 1700
BuscaLinear: 301 1
BuscaLinear: 15465 1800
BuscaLinear: 106 1
BuscaLinear: 15154 1900
BuscaLinear: 79 1
BuscaLinear: 17494 2000
BuscaLinear: 80 1
BuscaLinear: 17546 2100
BuscaLinear: 92 1
BuscaLinear: 14429 2200
BuscaLinear: 73 1
BuscaLinear: 18373 2300
BuscaLinear: 86 1
BuscaLinear: 18585 2400
BuscaLinear: 80 1
BuscaLinear: 19219 2500
BuscaLinear: 82 1
BuscaLinear: 20728 2600
BuscaLinear: 82 1
BuscaLinear: 20354 2700
BuscaLinear: 83 1
BuscaLinear: 24150 2800
BuscaLinear: 114 1
BuscaLinear: 22017 2900
BuscaLinear: 86 1
BuscaLinear: 29169 3000
BuscaLinear: 82 1
BuscaLinear: 25881 3100
BuscaLinear: 2546 1
BuscaLinear: 26577 3200
BuscaLinear: 81 1
BuscaLinear: 28894 3300
BuscaLinear: 75 1
BuscaLinear: 28662 3400
BuscaLinear: 107 1
BuscaLinear: 38474 3500
BuscaLinear: 78 1
BuscaLinear: 29231 3600
BuscaLinear: 98 1
BuscaLinear: 30524 3700
BuscaLinear: 116 1
BuscaLinear: 32067 3800
BuscaLinear: 118 1
BuscaLinear: 34755 3900
BuscaLinear: 101 1
BuscaLinear: 34720 4000
BuscaLinear: 102 1
BuscaLinear: 34417 4100
BuscaLinear: 105 1
BuscaLinear: 35517 4200
BuscaLinear: 101 1
BuscaLinear: 37558 4300
BuscaLinear: 106 1
BuscaLinear: 36829 4400
BuscaLinear: 102 1
BuscaLinear: 38406 4500
BuscaLinear: 97 1
BuscaLinear: 39465 4600
BuscaLinear: 101 1
BuscaLinear: 39913 4700
BuscaLinear: 120 1
BuscaLinear: 44650 4800
BuscaLinear: 105 1
BuscaLinear: 46397 4900
BuscaLinear: 95 1
BuscaLinear: 47952 5000
BuscaLinear: 227 1
BuscaLinear: 51385 5100
BuscaLinear: 85 1
BuscaLinear: 49873 5200
BuscaLinear: 84 1
BuscaLinear: 50745 5300
BuscaLinear: 81 1
BuscaLinear: 47104 5400
BuscaLinear: 88 1
BuscaLinear: 52784 5500
BuscaLinear: 88 1
BuscaLinear: 57287 5600
BuscaLinear: 88 1
BuscaLinear: 50261 5700
BuscaLinear: 80 1
BuscaLinear: 52855 5800
BuscaLinear: 106 1
BuscaLinear: 57670 5900
BuscaLinear: 78 1
BuscaLinear: 56450 6000
BuscaLinear: 76 1
BuscaLinear: 61224 6100
BuscaLinear: 104 1
BuscaLinear: 61510 6200
BuscaLinear: 90 1
BuscaLinear: 68392 6300
BuscaLinear: 85 1
BuscaLinear: 70544 6400
BuscaLinear: 97 1
BuscaLinear: 73393 6500
BuscaLinear: 119 1
BuscaLinear: 65495 6600
BuscaLinear: 100 1
BuscaLinear: 71418 6700
BuscaLinear: 106 1
BuscaLinear: 72140 6800
BuscaLinear: 97 1
BuscaLinear: 64341 6900
BuscaLinear: 130 1
BuscaLinear: 75261 7000
BuscaLinear: 88 1
BuscaLinear: 81922 7100
BuscaLinear: 100 1
BuscaLinear: 76534 7200
BuscaLinear: 83 1
BuscaLinear: 78494 7300
BuscaLinear: 101 1
BuscaLinear: 80203 7400
BuscaLinear: 88 1
BuscaLinear: 81578 7500
BuscaLinear: 101 1
BuscaLinear: 110216 7600
BuscaLinear: 99 1
BuscaLinear: 70817 7700
BuscaLinear: 129 1
BuscaLinear: 66246 7800
BuscaLinear: 85 1
BuscaLinear: 66254 7900
BuscaLinear: 81 1
BuscaLinear: 80335 8000
BuscaLinear: 85 1
BuscaLinear: 68285 8100
BuscaLinear: 83 1
BuscaLinear: 65878 8200
BuscaLinear: 106 1
BuscaLinear: 64717 8300
BuscaLinear: 342 1
BuscaLinear: 73041 8400
BuscaLinear: 83 1
BuscaLinear: 59740 8500
BuscaLinear: 76 1
BuscaLinear: 70305 8600
BuscaLinear: 73 1
BuscaLinear: 61238 8700
BuscaLinear: 70 1
BuscaLinear: 65060 8800
BuscaLinear: 71 1
BuscaLinear: 65907 8900
BuscaLinear: 72 1
BuscaLinear: 64561 9000
BuscaLinear: 73 1
BuscaLinear: 81657 9100
BuscaLinear: 85 1
BuscaLinear: 76418 9200
BuscaLinear: 74 1
BuscaLinear: 95544 9300
BuscaLinear: 74 1
BuscaLinear: 82461 9400
BuscaLinear: 90 1
BuscaLinear: 85657 9500
BuscaLinear: 81 1
BuscaLinear: 83015 9600
BuscaLinear: 80 1
BuscaLinear: 90798 9700
BuscaLinear: 81 1
BuscaLinear: 80714 9800
BuscaLinear: 77 1
BuscaLinear: 92784 9900
BuscaLinear: 77 1
BuscaLinear: 89187 10000
BuscaLinear: 108 1
BuscaBinaria: 9560 100
BuscaBinaria: 1743 1
BuscaBinaria: 6579 200
BuscaBinaria: 672 1
BuscaBinaria: 5527 300
BuscaBinaria: 544 1
BuscaBinaria: 3139 400
BuscaBinaria: 302 1
BuscaBinaria: 1510 500
BuscaBinaria: 244 1
BuscaBinaria: 1734 600
BuscaBinaria: 229 1
BuscaBinaria: 1247 700
BuscaBinaria: 112 1
BuscaBinaria: 658 800
BuscaBinaria: 114 1
BuscaBinaria: 1084 900
BuscaBinaria: 166 1
