alg time sample
Compara: 6401 11053
Compara: 1881 12487
Compara: 1666 19285
Compara: 1546 9103
Compara: 1224 142
Compara: 1276 1717
Compara: 3225 30720
Compara: 2015 11112
Compara: 1842 5996
Compara: 2194 6396
Compara: 2976 26786
Compara: 1674 13385
Compara: 3189 21392
Compara: 2847 21187
Compara: 1879 15760
Compara: 1816 10227
Compara: 2085 16954
Compara: 1615 9944
Compara: 2231 28138
Compara: 2510 31078
Compara: 1611 7098
Compara: 1955 18195
Compara: 1883 18585
Compara: 2901 22578
Compara: 2381 17102
Compara: 1728 26252
Compara: 1648 2311
Compara: 1289 19581
Compara: 1892 23999
Compara: 1501 29308
Compara: 1734 31649
Compara: 1313 2003
Compara: 1501 25914
Compara: 1485 28148
Compara: 1491 28174
Compara: 1342 30384
Compara: 1516 17647
Compara: 1573 23616
Compara: 1507 26412
Compara: 1803 24271
Compara: 1183 27115
Compara: 2268 26136
Compara: 4268 25295
Compara: 1296 5681
Compara: 1283 23222
Compara: 1263 9612
Compara: 1272 3384
Compara: 1448 7916
Compara: 1465 13612
Compara: 1273 17581
Compara: 1349 14935
Compara: 1275 13240
Compara: 1313 11804
Compara: 1340 23292
Compara: 1226 5313
Compara: 1163 4411
Compara: 1713 28322
Compara: 1267 13716
Compara: 1214 16495
Compara: 1251 2064
Compara: 1633 27461
Compara: 1322 30230
Compara: 1579 27964
Compara: 1240 9113
Compara: 1289 4303
Compara: 1467 13400
Compara: 1210 5405
Compara: 1322 29065
Compara: 1578 25328
Compara: 1545 3789
Compara: 1328 25118
Compara: 1410 13872
Compara: 1494 26769
Compara: 1482 21938
Compara: 1725 30752
Compara: 1389 6533
Compara: 997 505
Compara: 9309 15614
Compara: 3722 7764
Compara: 982 6389
Compara: 874 1186
Compara: 939 16647
Compara: 832 1142
Compara: 1559 18926
Compara: 849 14553
Compara: 1001 10740
Compara: 863 8138
Compara: 1296 14634
Compara: 909 5400
Compara: 970 23014
Compara: 843 23511
Compara: 1161 29372
Compara: 1003 21283
Compara: 996 20965
Compara: 1040 6886
Compara: 1248 32475
Compara: 1562 15077
Compara: 1132 6540
Compara: 1017 16953
Compara: 1015 24434
indexOf: 803409 11053
indexOf: 526980 12487
indexOf: 711556 19285
indexOf: 333065 9103
indexOf: 6051 142
indexOf: 61335 1717
indexOf: 818066 30720
indexOf: 82696 11112
indexOf: 41628 5996
indexOf: 44544 6396
indexOf: 203863 26786
indexOf: 92033 13385
indexOf: 149731 21392
indexOf: 146625 21187
indexOf: 108534 15760
indexOf: 72225 10227
indexOf: 118332 16954
indexOf: 68879 9944
indexOf: 197250 28138
indexOf: 218831 31078
indexOf: 68449 7098
indexOf: 130685 18195
indexOf: 146245 18585
indexOf: 163768 22578
indexOf: 148829 17102
indexOf: 171522 26252
indexOf: 16371 2311
indexOf: 132088 19581
indexOf: 160001 23999
indexOf: 191249 29308
indexOf: 244559 31649
indexOf: 14657 2003
indexOf: 177383 25914
indexOf: 132098 28148
indexOf: 93065 28174
indexOf: 81924 30384
indexOf: 43301 17647
indexOf: 60884 23616
indexOf: 64251 26412
indexOf: 58941 24271
indexOf: 67667 27115
indexOf: 61997 26136
indexOf: 114164 25295
indexOf: 13866 5681
indexOf: 57749 23222
indexOf: 24205 9612
indexOf: 8907 3384
indexOf: 19086 7916
indexOf: 32080 13612
indexOf: 42821 17581
indexOf: 35377 14935
indexOf: 32230 13240
indexOf: 28864 11804
indexOf: 53951 23292
indexOf: 12463 5313
indexOf: 11161 4411
indexOf: 68990 28322
indexOf: 32030 13716
indexOf: 38402 16495
indexOf: 4979 2064
indexOf: 66144 27461
indexOf: 79890 30230
indexOf: 69030 27964
indexOf: 25207 9113
indexOf: 12413 4303
indexOf: 35597 13400
indexOf: 14938 5405
indexOf: 73699 29065
indexOf: 64141 25328
indexOf: 10290 3789
indexOf: 61516 25118
indexOf: 40606 13872
indexOf: 71114 26769
indexOf: 55214 21938
indexOf: 86603 30752
indexOf: 17312 6533
indexOf: 1303 505
indexOf: 41929 15614
indexOf: 32491 7764
indexOf: 19878 6389
indexOf: 2936 1186
indexOf: 41979 16647
indexOf: 2915 1142
indexOf: 49623 18926
indexOf: 35156 14553
indexOf: 33093 10740
indexOf: 27181 8138
indexOf: 37631 14634
indexOf: 15108 5400
indexOf: 59351 23014
indexOf: 57628 23511
indexOf: 73358 29372
indexOf: 54212 21283
indexOf: 52860 20965
indexOf: 19397 6886
indexOf: 81894 32475
indexOf: 44163 15077
indexOf: 20148 6540
indexOf: 44433 16953
indexOf: 71754 24434
